country,channel,current_share,recommended_share,shift_pp
de,Branded PPC,0.014181626372046372,6.548190099113485e-07,-1.418097155303646
de,Non-Branded PPC,0.6607843317193677,0.3278921083132548,-33.28922234061128
de,Metasearch,0.3000869750664055,0.4246240392310454,12.453706416463989
de,Remarketing,0.02494706684218038,0.24748319763668736,22.253613079450698
de,Email,0.0,2.4187477435670544e-15,2.4187477435670545e-13
gb,Branded PPC,0.0140504432513021,0.055865949300242,4.1815506048939906
gb,Non-Branded PPC,0.6432269719414527,0.520559045900809,-12.266792604064369
gb,Metasearch,0.3256659860232735,0.3383731482209628,1.2707162197689303
gb,Remarketing,0.017056598783971696,0.0852018565779862,6.814525779401451
gb,Email,0.0,0.0,0.0
us,Branded PPC,0.00914926637779748,0.07112138846705982,6.197212208926234
us,Non-Branded PPC,0.4723080392294005,0.25170082832961166,-22.060721089978884
us,Metasearch,0.4993879280218782,0.48847106769932425,-1.0916860322553956
us,Remarketing,0.019154766370923875,0.18870671550400386,16.955194913308
us,Email,0.0,4.6586424705345815e-16,4.658642470534582e-14
